carat,cut,color,clarity,depth,table,price,x,y,z
0.31,Ideal,I,VS2,61.6,55.0,452,4.38,4.42,2.71
1.01,Good,G,VS1,57.7,63.0,6613,6.55,6.65,3.81
0.31,Ideal,I,IF,60.9,57.0,635,4.39,4.44,2.69
0.75,Ideal,E,SI1,61.1,57.0,2993,5.83,5.86,3.57
0.5,Ideal,G,VVS2,61.9,58.0,1741,5.06,5.09,3.14
0.79,Ideal,I,VVS2,61.7,56.0,4092,5.94,5.95,3.67
0.33,Ideal,D,VS2,61.5,56.0,940,4.47,4.5,2.76
0.3,Ideal,F,VVS1,61.2,55.0,802,4.33,4.36,2.66
1.01,Fair,F,VS1,61.7,61.0,6651,6.6,6.49,4.04
0.3,Ideal,E,VS2,61.7,58.0,621,4.27,4.29,2.64
0.62,Premium,F,VS2,62.3,60.0,2009,5.46,5.39,3.38
0.7,Very Good,G,SI1,63.5,56.0,2293,5.64,5.7,3.6
0.32,Ideal,G,VVS2,62.1,54.0,708,4.4,4.42,2.74
0.33,Ideal,F,VS2,62.0,54.2,660,4.42,4.45,2.75
0.72,Ideal,I,VS2,61.8,56.0,2650,5.72,5.77,3.56
2.03,Ideal,J,VS2,62.1,57.0,13880,8.15,8.08,5.04
0.3,Very Good,F,VVS2,62.4,57.0,694,4.25,4.27,2.66
1.01,Good,E,SI1,64.1,59.0,4399,6.31,6.35,4.06
0.5,Premium,I,VVS1,62.8,61.0,1556,5.05,4.98,3.15
0.32,Premium,I,SI1,59.9,61.0,540,4.47,4.44,2.67
0.32,Premium,E,I1,60.9,58.0,444,4.42,4.38,2.68
0.73,Ideal,G,SI1,62.1,54.0,2351,5.81,5.76,3.59
0.3,Ideal,G,IF,62.1,57.0,863,4.27,4.29,2.66
0.36,Very Good,E,SI1,63.1,58.0,810,4.54,4.49,2.85
0.9,Premium,G,SI1,60.1,59.0,3326,6.25,6.2,3.74
0.33,Very Good,H,VS1,62.9,59.0,579,4.35,4.4,2.75
1.23,Premium,G,VS1,61.3,58.0,8759,6.87,6.89,4.22
0.9,Premium,E,VS1,62.1,59.0,5116,6.15,6.09,3.8
0.9,Very Good,D,SI1,61.6,54.0,3880,6.18,6.25,3.83
0.27,Very Good,D,VVS2,61.6,59.0,620,4.15,4.16,2.56
0.39,Ideal,G,VVS2,61.1,56.0,974,4.7,4.72,2.88
1.0,Premium,F,VS2,61.6,55.0,6209,6.42,6.34,3.93
1.36,Ideal,F,VVS1,61.3,57.0,15247,7.13,7.23,4.4
1.01,Very Good,E,VS2,58.1,60.0,6399,6.51,6.58,3.8
0.31,Premium,E,VVS1,61.3,58.0,924,4.36,4.39,2.68
0.38,Ideal,H,VS2,62.8,56.0,898,4.62,4.59,2.89
1.16,Premium,H,SI2,61.8,58.0,4872,6.81,6.75,4.19
0.91,Ideal,G,VS2,61.4,57.0,5023,6.23,6.28,3.84
1.01,Premium,D,VS2,61.6,59.0,6271,6.38,6.32,3.91
1.06,Ideal,J,VS2,62.4,54.0,4643,6.51,6.57,4.08
1.67,Very Good,I,VS1,61.6,59.1,11867,7.61,7.64,4.7
