iter	RMSE
0	3646.801287
1	3324.296994
2	3024.050643
3	2755.622469
4	2513.184505
5	2301.420055
6	2110.243959
7	1941.209919
8	1790.199674
9	1646.58826
10	1518.545589
11	1406.27939
12	1303.572442
13	1216.94817
14	1138.576622
15	1067.423391
16	1005.757867
17	951.6565354
18	902.9955534
19	859.9956929
20	822.8008778
21	789.7829029
22	760.8900805
23	734.8840658
24	712.1057997
25	692.567359
26	674.868544
27	659.2715343
28	646.081683
29	633.6611593
30	623.0436751
31	614.2540996
32	606.7966035
33	599.6893982
34	593.2428674
35	587.7207617
36	582.3689462
37	577.7246409
38	573.6964768
39	570.0308093
40	566.6277176
41	563.4018057
42	560.330414
43	557.7215509
44	555.4490649
45	553.3308972
46	551.1166332
47	549.6115531
48	547.8309263
49	546.2199299
50	544.5253392
51	543.0565853
52	540.6602017
53	539.0598928
54	537.4172201
55	536.5703075
56	535.1021317
57	533.0313474
58	532.0499621
59	530.3530164
60	529.6765401
61	528.9346136
62	527.7673715
63	526.874004
64	526.3512825
65	525.4062104
66	523.5048159
67	522.5247921
68	521.4105042
69	520.6322253
70	519.3333846
71	518.1383826
72	516.9920631
73	516.047746
74	515.2879271
75	514.1727328
76	512.9751267
77	512.2876155
78	511.2432219
79	510.7575548
80	510.0967443
81	509.2858609
82	508.1916155
83	507.8460237
84	507.0715467
85	506.5083473
86	505.810511
87	505.4749098
88	504.4476487
89	503.422452
90	502.7326401
91	501.9325114
92	501.0576101
93	500.457787
94	500.0600341
95	499.0578368
96	498.5448756
97	497.6948714
98	497.0902319
99	496.0028359
