iter	Passed	Remaining
0	13	1362
1	27	1343
2	42	1390
3	57	1385
4	72	1386
5	87	1367
6	100	1341
7	116	1334
8	130	1320
9	146	1317
10	161	1305
11	176	1291
12	190	1277
13	205	1260
14	219	1245
15	234	1232
16	249	1220
17	265	1209
18	280	1193
19	303	1212
20	318	1196
21	333	1183
22	347	1164
23	362	1149
24	377	1131
25	392	1117
26	407	1101
27	422	1087
28	438	1073
29	453	1058
30	467	1041
31	482	1025
32	497	1010
33	512	995
34	526	978
35	541	962
36	555	946
37	570	930
38	584	914
39	599	899
40	614	884
41	630	871
42	645	856
43	660	841
44	676	826
45	690	810
46	705	795
47	721	781
48	735	765
49	759	759
50	792	761
51	823	760
52	840	745
53	856	729
54	871	713
55	887	697
56	902	680
57	916	663
58	931	647
59	946	631
60	961	614
61	976	598
62	991	582
63	1006	566
64	1020	549
65	1035	533
66	1049	517
67	1063	500
68	1078	484
69	1093	468
70	1108	452
71	1122	436
72	1137	420
73	1153	405
74	1167	389
75	1181	373
76	1196	357
77	1210	341
78	1225	325
79	1240	310
80	1259	295
81	1286	282
82	1303	266
83	1317	250
84	1332	235
85	1347	219
86	1362	203
87	1376	187
88	1390	171
89	1405	156
90	1419	140
91	1434	124
92	1449	109
93	1464	93
94	1478	77
95	1493	62
96	1507	46
97	1521	31
98	1537	15
99	1551	0
